MaterialNumber,ProductType,Plant,ComplexityScore,IfPhasedOut
003336046868,Disposables,569722,3,NA
003336097868,Disposables,569722,6,NA
003336140868,Disposables,569762,9,NA
003336170868,Disposables,569722,9,NA
003337341679,Disposables,569356,2,NA
003337553679,Disposables,569266,8,NA
003337744679,Disposables,570241,8,NA
003337747679,Disposables,570241,6,NA
003339426679,Hardware,569212,3,x
003339456679,Hardware,570551,1,NA
003339483679,Hardware,570551,9,NA
003339499679,Hardware,570551,8,NA
003339542679,Hardware,570551,5,NA
003340273868,Disposables,569266,9,NA
003340281868,Disposables,569266,4,NA
003341998679,Hardware,569212,5,NA
003342006679,Software,569966,9,NA
003342249679,Hardware,569261,10,NA
003343833679,Disposables,569421,1,NA
003345491679,Disposables,569421,1,NA
003353607679,Disposables,570556,10,NA
003355921588,Disposables,570241,8,NA
003355929588,Disposables,570241,8,NA
003355937588,Disposables,570241,7,NA
003355975679,Software,569966,5,NA
003356973679,Disposables,570556,4,NA
003357961679,Disposables,569999,7,NA
003357969679,Disposables,569999,8,NA
003359186679,Hardware,570551,5,NA
003359662679,Hardware,570221,5,NA
003361286679,Disposables,570226,9,NA
003361313679,Hardware,570221,6,NA
003361321679,Hardware,570221,6,NA
003361430679,Hardware,570221,3,NA
003361438679,Hardware,570221,9,NA
003361593588,Disposables,570241,1,NA
003377152679,Disposables,569999,8,NA
003377160679,Disposables,569999,3,NA
003378126868,Disposables,569742,1,NA
003378135868,Disposables,569742,6,NA
003378567868,Disposables,569742,10,x
003380357868,Disposables,569422,3,NA
003380524868,Disposables,569422,1,NA
003385738679,Disposables,569266,6,NA
003450967679,Disposables,570123,9,NA
003452419679,Disposables,570061,7,x
003456111679,Hardware,570221,7,NA
003502718868,Disposables,569564,7,NA
003503101868,Disposables,569311,9,NA
003503566868,Disposables,569251,1,NA
003504640679,Disposables,569266,3,NA
003508755679,Software,569966,1,NA
003508781679,Software,569966,7,NA
003508854679,Hardware,570051,6,NA
003508862679,Hardware,570051,3,NA
003509386868,Disposables,569762,5,NA
003509494868,Disposables,569762,8,NA
003509535868,Disposables,569762,2,NA
003509591868,Disposables,569762,2,NA
003509642868,Disposables,569762,10,NA
003509688868,Disposables,569762,9,NA
003509723868,Disposables,569762,8,NA
003509753868,Disposables,569762,8,NA
003509777868,Disposables,569762,8,NA
003511288679,Hardware,569471,3,x
003512697679,Disposables,569722,1,NA
003512965868,Disposables,569742,8,NA
003517912679,Disposables,570226,8,NA
003517920679,Disposables,570226,8,NA
003518214679,Disposables,570226,3,NA
003518230679,Disposables,570226,2,NA
003518884679,Hardware,569261,3,NA
003519334868,Disposables,569742,2,NA
003520601679,Disposables,569222,6,NA
003520609679,Disposables,569222,7,NA
003520644679,Disposables,569222,7,NA
003520647679,Disposables,569222,7,NA
003520674679,Disposables,569222,4,NA
003520682679,Disposables,569222,8,NA
003520690679,Disposables,569222,5,NA
003520706679,Disposables,569222,7,NA
003520715679,Disposables,569222,3,NA
003522175679,Software,569966,9,NA
003522201679,Software,569966,1,NA
003522209679,Software,569966,5,NA
003522244679,Software,569966,1,NA
003522247679,Software,569966,10,NA
003522274679,Software,569966,2,NA
003522282679,Software,569966,3,NA
003522290679,Software,569966,4,NA
003522298679,Software,569966,7,NA
003522306679,Software,569966,3,NA
003522315679,Software,569966,4,NA
003522333679,Software,569966,10,NA
003522341679,Software,569966,2,NA
003522350679,Software,569966,7,NA
003522358679,Software,569966,3,NA
003522366679,Software,569966,7,NA
003522375679,Software,569966,2,NA
003522393679,Software,569966,5,NA
003531340868,Disposables,569762,7,NA
003532814868,Disposables,569567,2,x
003533411868,Disposables,569742,8,NA
003533525868,Disposables,569251,2,NA
003533640679,Disposables,570241,6,NA
003533759679,Hardware,570221,4,NA
003533760370,Hardware,570221,3,NA
003533865679,Disposables,570226,4,NA
003533883679,Disposables,570226,1,NA
003538599868,Disposables,569251,1,NA
003542151679,Disposables,570226,9,NA
003542580679,Disposables,569722,1,NA
003542588679,Disposables,569722,7,NA
003544739679,Disposables,570226,8,NA
003556016679,Software,569966,7,NA
003556025679,Software,569966,2,NA
003556883868,Disposables,569563,3,NA
003558286868,Disposables,569762,9,NA
003563442868,Disposables,569566,5,NA
003563747679,Hardware,570221,4,NA
003563774679,Hardware,570221,3,NA
003563833679,Disposables,570226,10,NA
003564485868,Disposables,569562,1,NA
003578439679,Hardware,570221,10,NA
003578453868,Disposables,569762,4,NA
003578461868,Disposables,569762,3,NA
003588301679,Software,569966,1,NA
003588309679,Software,569966,9,NA
003588317679,Software,569966,2,NA
003588344679,Software,569966,8,NA
003588359679,Software,569966,8,NA
003588367679,Software,569966,10,NA
003588435679,Software,569966,6,NA
003588448679,Software,569966,4,NA
003588499679,Software,569966,2,NA
003588507679,Software,569966,5,NA
003588534679,Software,569966,3,NA
003588542679,Software,569966,10,NA
003588564679,Software,569966,7,NA
003588572679,Software,569966,7,NA
003588580679,Software,569966,8,NA
003588588679,Software,569966,2,NA
003588596679,Software,569966,4,NA
003588605679,Software,569966,7,NA
003588631679,Software,569966,6,NA
003588639679,Software,569966,9,NA
003588669679,Software,569966,1,NA
003588677679,Software,569966,9,NA
003589870679,Software,569966,6,NA
003589878679,Software,569966,7,NA
003589886679,Software,569966,9,NA
003589895679,Software,569966,8,NA
003589913679,Software,569966,10,NA
003590142868,Disposables,569266,9,NA
003597808679,Disposables,569356,3,NA
003606265679,Hardware,570221,8,NA
003606299679,Hardware,570221,5,NA
003606307679,Hardware,570221,5,NA
003606334679,Hardware,570221,2,NA
003607066679,Disposables,570226,5,NA
003612332868,Disposables,569562,6,NA
003612425868,Disposables,569311,10,NA
003612524679,Disposables,569416,9,NA
003612540679,Disposables,569416,8,NA
003613779868,Disposables,569356,9,NA
003614411679,Disposables,570226,4,NA
003619893679,Hardware,569212,2,NA
003619901679,Hardware,569212,10,NA
